"гЮа╓╠╦©╙╨╟",2012,2013,2014,2015,2016,2017,2018,2019
"гЮа╓╠╦©╙╨╟",юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%),юс╠щ╩С╫б╥Э (%)
"юЭ╠╧",5.3,4.5,3.7,3.1,3.6,3.1,4.3,4.5
