금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1966. 08 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 09 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 10 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 11 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 12 월,,28,,,,,271.180 (Won/US$),,,,,
1967. 01 월,,28,,,,,269.850 (Won/US$),,,,,
1967. 02 월,,28,,,,,269.900 (Won/US$),,,,,
1967. 03 월,,28,,,,,270.050 (Won/US$),,,,,
1967. 04 월,,28,,,,,270.100 (Won/US$),,,,,
1967. 05 월,,28,,,,,270.050 (Won/US$),,,,,
1967. 06 월,,28,,,,,270.000 (Won/US$),,,,,
1967. 07 월,,28,,,,,270.250 (Won/US$),,,,,
1967. 08 월,,28,,,,,270.340 (Won/US$),,,,,
1967. 09 월,,28,,,,,270.580 (Won/US$),,,,,
1967. 10 월,,28,,,,,270.290 (Won/US$),,,,,
1967. 11 월,,28,,,,,271.900 (Won/US$),,,,,
1967. 12 월,,28,,,,,274.600 (Won/US$),,,,,
1968. 01 월,,28,,,,,274.700 (Won/US$),,,,,
1968. 02 월,,28,,,,,274.600 (Won/US$),,,,,
1968. 03 월,,21,,,,,274.700 (Won/US$),,,,,
1968. 04 월,,21,,,,,274.800 (Won/US$),,,,,
1968. 05 월,,21,,,,,274.800 (Won/US$),,,,,
1968. 06 월,,21,,,,,274.800 (Won/US$),,,,,
1968. 07 월,,21,,,,,274.800 (Won/US$),,,,,
1968. 08 월,,21,,,,,276.500 (Won/US$),,,,,
1968. 09 월,,21,,,,,279.500 (Won/US$),,,,,
1968. 10 월,,23,,,,,280.900 (Won/US$),,,,,
1968. 11 월,,23,,,,,281.600 (Won/US$),,,,,
1968. 12 월,,23,,,,,281.500 (Won/US$),,,,,
1969. 01 월,,23,,,,,281.700 (Won/US$),,,,,
1969. 02 월,,23,,,,,282.400 (Won/US$),,,,,
1969. 03 월,,23,,,,,283.200 (Won/US$),,,,,
1969. 04 월,,23,,,,,284.200 (Won/US$),,,,,
1969. 05 월,,23,,,,,285.000 (Won/US$),,,,,
1969. 06 월,,22,,,,,285.000 (Won/US$),,,,,
1969. 07 월,,22,,,,,286.300 (Won/US$),,,,,
1969. 08 월,,22,,,,,287.600 (Won/US$),,,,,
1969. 09 월,,22,,,,,288.800 (Won/US$),,,,,
1969. 10 월,,22,,,,,291.400 (Won/US$),,,,,
1969. 11 월,,22,,,,,304.550 (Won/US$),,,,,
1969. 12 월,,22,,,,,304.450 (Won/US$),,,,,
1970. 01 월,,22,,,,,305.350 (Won/US$),,,,,
1970. 02 월,,22,,,,,306.150 (Won/US$),,,,,
1970. 03 월,,22,,,,,306.850 (Won/US$),,,,,
1970. 04 월,,21,,,,,308.650 (Won/US$),,,,,
1970. 05 월,,21,,,,,309.350 (Won/US$),,,,,
1970. 06 월,,21,,,,,310.750 (Won/US$),,,,,
1970. 07 월,,21,,,,,312.350 (Won/US$),,,,,
1970. 08 월,,21,,,,,312.950 (Won/US$),,,,,
1970. 09 월,,21,,,,,313.850 (Won/US$),,,,,
1970. 10 월,,21,,,,,314.950 (Won/US$),,,,,
1970. 11 월,,21,,,,,315.750 (Won/US$),,,,,
1970. 12 월,,19,,,,,316.650 (Won/US$),,,,,
1971. 01 월,,19,,,,,318.550 (Won/US$),,,,,
1971. 02 월,,19,,,,,320.250 (Won/US$),,,,,
1971. 03 월,,19,,,,,322.250 (Won/US$),,,,,
1971. 04 월,,19,,,,,324.150 (Won/US$),,,,,
1971. 05 월,,19,,,,,326.350 (Won/US$),,,,,
1971. 06 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 07 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 08 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 09 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 10 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 11 월,,16,,,,,370.800 (Won/US$),,,,,
1971. 12 월,,16,,,,,373.300 (Won/US$),,,,,
1972. 01 월,,13,,,,,376.400 (Won/US$),,,,,
1972. 02 월,,13,,,,,382.000 (Won/US$),,,,,
1972. 03 월,,13,,,,,387.100 (Won/US$),,,,,
1972. 04 월,,13,,,,,392.900 (Won/US$),,,,,
1972. 05 월,,13,,,,,396.100 (Won/US$),,,,,
1972. 06 월,,13,,,,,399.700 (Won/US$),,,,,
1972. 07 월,,13,,,,,399.300 (Won/US$),,,,,
1972. 08 월,,11,,,,,399.000 (Won/US$),,,,,
1972. 09 월,,11,,,,,398.700 (Won/US$),,,,,
1972. 10 월,,11,,,,,398.700 (Won/US$),,,,,
1972. 11 월,,11,,,,,398.800 (Won/US$),,,,,
1972. 12 월,,11,,,,,398.900 (Won/US$),,,,,
1973. 01 월,,11,,,,,398.900 (Won/US$),,,,,
1973. 02 월,,11,,,,,398.900 (Won/US$),,,,,
1973. 03 월,,11,,,,,398.900 (Won/US$),,,,,
1973. 04 월,,11,,,,,399.000 (Won/US$),,,,,
1973. 05 월,,11,,,,15.1,398.900 (Won/US$),,,,,
1973. 06 월,,11,,,,15.4,398.900 (Won/US$),,,,,
1973. 07 월,,11,,,,16.2,398.700 (Won/US$),,,,,
1973. 08 월,,11,,,,16.6,398.300 (Won/US$),,,,,
1973. 09 월,,11,,,,17.5,397.700 (Won/US$),,,,,
1973. 10 월,,11,,,,17.8,397.200 (Won/US$),,,,,
1973. 11 월,,11,,,,18.5,396.900 (Won/US$),,,,,
1973. 12 월,,11,,,,18.9,397.500 (Won/US$),,,,,
1974. 01 월,,11,,,,19.3,398.200 (Won/US$),,,,,
1974. 02 월,,11,,,,20,398.500 (Won/US$),,,,,
1974. 03 월,,11,,,,20.7,398.900 (Won/US$),,,,,
1974. 04 월,,11,,,,21.4,399.000 (Won/US$),,,,,
1974. 05 월,,11,,,,21.6,399.000 (Won/US$),,,,,
1974. 06 월,,11,,,,21.7,399.000 (Won/US$),,,,,
1974. 07 월,,11,,,,21.5,399.000 (Won/US$),,,,,
1974. 08 월,,11,,,,21.3,399.000 (Won/US$),,,,,
1974. 09 월,,11,,,,21,399.000 (Won/US$),,,,,
1974. 10 월,,11,,,,20.9,399.000 (Won/US$),,,,,
1974. 11 월,,11,,,,21.1,399.000 (Won/US$),,,,,
1974. 12 월,,11,,,,21.1,484.000 (Won/US$),,,,,
1975. 01 월,,11,,,,20.9,484.000 (Won/US$),,,,,
1975. 02 월,,11,,,,20.7,484.000 (Won/US$),,,,,
1975. 03 월,,11,,,,20.8,484.000 (Won/US$),,,,,
1975. 04 월,,11,,,,20.6,484.000 (Won/US$),,,,,
1975. 05 월,,11,,,,20.9,484.000 (Won/US$),,,,,
1975. 06 월,,11,,,,21.1,484.000 (Won/US$),,,,,
1975. 07 월,,11,,,,21.5,484.000 (Won/US$),,,,,
1975. 08 월,,11,,,,21.5,484.000 (Won/US$),,,,,
1975. 09 월,,11,,,,21.2,484.000 (Won/US$),,,,,
1975. 10 월,,11,,,,21.2,484.000 (Won/US$),,,,,
1975. 11 월,,14,,,,21.3,484.000 (Won/US$),,,,,
1975. 12 월,,14,,,,21.5,484.000 (Won/US$),,,,,
1976. 01 월,,14,,,,21.4,484.000 (Won/US$),,,,,
1976. 02 월,,14,,,,21.4,484.000 (Won/US$),,,,,
1976. 03 월,,14,,,,21.3,484.000 (Won/US$),,,,,
1976. 04 월,,14,,,,21.7,484.000 (Won/US$),,,,,
1976. 05 월,,14,,,,21.3,484.000 (Won/US$),,,,,
1976. 06 월,,14,,,,21.4,484.000 (Won/US$),,,,,
1976. 07 월,,14,,,,21.4,484.000 (Won/US$),,,,,
1976. 08 월,,14,17.5,,,21.5,484.000 (Won/US$),,,,,
1976. 09 월,,14,18.3,,,21.8,484.000 (Won/US$),,,,,
1976. 10 월,,14,17.8,,,22.2,484.000 (Won/US$),,,,,
1976. 11 월,,14,18.1,,,22.2,484.000 (Won/US$),,,,,
1976. 12 월,,14,17.8,,,21.8,484.000 (Won/US$),,,,,
1977. 01 월,,14,18,,,20.9,484.000 (Won/US$),,,,,
1977. 02 월,,14,18.2,,,21,484.000 (Won/US$),,,,,
1977. 03 월,,14,18.6,,,22,484.000 (Won/US$),,,,,
1977. 04 월,,14,17.6,,,21.7,484.000 (Won/US$),,,,,
1977. 05 월,,14,18.2,,,22.1,484.000 (Won/US$),,,,,
1977. 06 월,,14,18.3,,,20.8,484.000 (Won/US$),,,,,
1977. 07 월,,14,18.4,,,20.3,484.000 (Won/US$),,,,,
1977. 08 월,,14,18,,,19.4,484.000 (Won/US$),,,,,
1977. 09 월,,14,18.3,,,20,484.000 (Won/US$),,,,,
1977. 10 월,,14,18,,,29.2,484.000 (Won/US$),,,,,
1977. 11 월,,14,17.3,,,19.7,484.000 (Won/US$),,,,,
1977. 12 월,,14,18.2,,,20.5,484.000 (Won/US$),,,,,
1978. 01 월,,14,17.7,,,20.4,484.000 (Won/US$),,,,,
1978. 02 월,,14,16.4,,,21,484.000 (Won/US$),,,,,
1978. 03 월,,14,18.2,,,20.7,484.000 (Won/US$),,,,,
1978. 04 월,,14,18.1,,,20.2,484.000 (Won/US$),,,,,
1978. 05 월,,14,17.2,,,20.3,484.000 (Won/US$),,,,,
1978. 06 월,,15,19.9,,,21.9,484.000 (Won/US$),,,,,
1978. 07 월,,15,20.8,,,22.1,484.000 (Won/US$),,,,,
1978. 08 월,,15,20.9,,,22,484.000 (Won/US$),,,,,
1978. 09 월,,15,21.1,,,22.3,484.000 (Won/US$),,,,,
1978. 10 월,,15,21.2,,,22.5,484.000 (Won/US$),,,,,
1978. 11 월,,15,21.4,,,23.2,484.000 (Won/US$),,,,,
1978. 12 월,,15,18.9,,,22.6,484.000 (Won/US$),,,,,
1979. 01 월,,15,18.8,,,22.9,484.000 (Won/US$),,,,,
1979. 02 월,,15,18.8,,,23.6,484.000 (Won/US$),,,,,
1979. 03 월,,15,18.8,,,23.8,484.000 (Won/US$),,,,,
1979. 04 월,,15,18.9,,,23.4,484.000 (Won/US$),,,,,
1979. 05 월,,15,18.9,,,23.7,484.000 (Won/US$),,,,,
1979. 06 월,,15,18.8,,,25.7,484.000 (Won/US$),,,,,
1979. 07 월,,15,18.8,,,25.9,484.000 (Won/US$),,,,,
1979. 08 월,,15,18.9,,,24.7,484.000 (Won/US$),,,,,
1979. 09 월,,15,18.9,,,26,484.000 (Won/US$),,,,,
1979. 10 월,,15,18.9,,,26.5,484.000 (Won/US$),,,,,
1979. 11 월,,15,18.9,,,28.1,484.000 (Won/US$),,,,,
1979. 12 월,,15,18.9,,,27.9,484.000 (Won/US$),,,,,
1980. 01 월,,21,22.7,,,29,580.000 (Won/US$),,,,,
1980. 02 월,,21,23.9,,,29.4,580.700 (Won/US$),,,,,
