금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1991. 07 월,,7,18.4,,,16.4,726.100 (Won/US$),,,,,
1991. 08 월,,7,19,,,16.6,735.600 (Won/US$),,,,,
1991. 09 월,,7,19.7,,,16.9,741.500 (Won/US$),,,,,
1991. 10 월,,7,18.2,,,17,750.300 (Won/US$),,,,,
1991. 11 월,,7,19.7,,,16.9,754.500 (Won/US$),,,,,
1991. 12 월,,7,17.2,,,16.8,760.800 (Won/US$),,,,,
1992. 01 월,,7,14.3,,,16.7,762.000 (Won/US$),,,,,
1992. 02 월,,7,14.2,,,16.2,768.200 (Won/US$),,,,,
1992. 03 월,,7,14.7,,,16.2,775.100 (Won/US$),,,,,
1992. 04 월,,7,14.9,,,16.2,778.800 (Won/US$),,,,,
1992. 05 월,,7,14.9,,,16.1,783.500 (Won/US$),,,,,
1992. 06 월,,7,14.9,,,16.1,790.200 (Won/US$),,,,,
1992. 07 월,,7,14.9,,,15.7,788.100 (Won/US$),,,,,
1992. 08 월,,7,14.9,,,14.5,787.600 (Won/US$),,,,,
1992. 09 월,,7,14.9,,,14.3,786.600 (Won/US$),,,,,
1992. 10 월,,7,12,,,13.4,782.400 (Won/US$),,,,,
1992. 11 월,,7,13.4,,,12.4,785.100 (Won/US$),,,,,
1992. 12 월,,7,13.8,,,13.2,788.400 (Won/US$),,,,,
1993. 01 월,,5,12.4,,,12.8,794.000 (Won/US$),,,,,
1993. 02 월,,5,11.06,,,12.34,794.900 (Won/US$),,,,,
1993. 03 월,,5,11,,,11.5,794.000 (Won/US$),,,,,
1993. 04 월,,5,10.7,,,11.1,795.900 (Won/US$),,,,,
1993. 05 월,,5,11.2,,,11.3,801.100 (Won/US$),,,,,
1993. 06 월,,5,13.2,,,11.8,803.700 (Won/US$),,,,,
1993. 07 월,,5,14.4,,,12.2,806.600 (Won/US$),,,,,
1993. 08 월,,5,13.6,,,12.2,808.400 (Won/US$),,,,,
1993. 09 월,,5,12.6,,,13.05,808.800 (Won/US$),,,,,
1993. 10 월,,5,12.09,,,12.39,808.200 (Won/US$),,,,,
1993. 11 월,,5,11.5,,,12.29,807.600 (Won/US$),,,,,
1993. 12 월,,5,11.7,,,12,808.100 (Won/US$),,,,,
1994. 01 월,,5,10.5,,,11.9,808.100 (Won/US$),,,,,
1994. 02 월,,5,11,,,11.9,802.600 (Won/US$),,,,,
1994. 03 월,,5,12,,,12.1,806.500 (Won/US$),,,,,
1994. 04 월,,5,11.7,,,12.1,807.500 (Won/US$),,,,,
1994. 05 월,,5,11.2,,,12,806.100 (Won/US$),,,,,
1994. 06 월,,5,12.8,,,11.9,805.500 (Won/US$),,,,,
1994. 07 월,,5,12.7,,,12,802.600 (Won/US$),,,,,
1994. 08 월,,5,15.8,,,12.2,801.100 (Won/US$),,,,,
1994. 09 월,,5,12.7,,,12.4,798.900 (Won/US$),,,,,
1994. 10 월,,5,11.6,,,12.7,796.900 (Won/US$),,,,,
1994. 11 월,,5,12.9,,,12.9,794.300 (Won/US$),,,,,
1994. 12 월,,5,14.5,,,13.5,788.700 (Won/US$),,,,,
1995. 01 월,,5,15.6,,,13.9,786.700 (Won/US$),,,,,
1995. 02 월,,5,15.3,,,14.2,786.000 (Won/US$),,,,,
1995. 03 월,,5,12.2,,,14,771.500 (Won/US$),,,,,
1995. 04 월,,5,12.9,,,13.5,761.800 (Won/US$),,,,,
1995. 05 월,,5,13.8,,,13.5,760.100 (Won/US$),,,,,
1995. 06 월,,5,12.8,,,13.2,758.100 (Won/US$),,,,,
1995. 07 월,,5,11.3,,,12.8,756.500 (Won/US$),,,,,
1995. 08 월,,5,11.7,,,12.1,771.100 (Won/US$),,,,,
1995. 09 월,,5,11.4,,,11.2,768.400 (Won/US$),,,,,
1995. 10 월,,5,11.2,,,10.8,765.500 (Won/US$),,,,,
1995. 11 월,,5,11.4,,,10.4,769.200 (Won/US$),,,,,
1995. 12 월,,5,11.2,,,9.2,774.700 (Won/US$),,,,,
1996. 01 월,,5,10.5,,,10,784.300 (Won/US$),,,,,
1996. 02 월,,5,10.8,,,10.7,780.700 (Won/US$),,,,,
1996. 03 월,,5,10.3,,,10.8,782.700 (Won/US$),,,,,
1996. 04 월,,5,9.5,,,10.3,778.700 (Won/US$),,,,,
1996. 05 월,,5,11.5,,,10.3,787.900 (Won/US$),,,,,
1996. 06 월,,5,12.44,,,10.7,810.600 (Won/US$),,,,,
1996. 07 월,,5,13.04,9.87,11.17,11.05,813.300 (Won/US$),,,,,
1996. 08 월,,5,15.52,10.41,11.03,11.53,819.400 (Won/US$),,,,,
1996. 09 월,,5,14.11,10.44,11.05,11.36,821.200 (Won/US$),,,,,
1996. 10 월,,5,14.65,10.39,11.12,11.26,831.300 (Won/US$),,,,,
1996. 11 월,,5,14.38,9.73,10.92,11.32,828.700 (Won/US$),,,,,
1996. 12 월,,5,12.51,9.8,11.1,11.44,844.200 (Won/US$),,,,,
1997. 01 월,,5,11.39,9.83,11.34,11.26,861.300 (Won/US$),,,,,
1997. 02 월,,5,11.49,10.21,11.33,11.1,863.900 (Won/US$),,,,,
1997. 03 월,,5,12.95,10.73,11.47,11.4,897.100 (Won/US$),,,,,
1997. 04 월,,5,13,10.88,11.49,11.46,892.100 (Won/US$),,,,,
1997. 05 월,,5,12.45,10.91,11.36,11.36,891.800 (Won/US$),,,,,
1997. 06 월,,5,11.19,10.53,11.38,11.04,888.100 (Won/US$),,,,,
1997. 07 월,,5,11.44,10.55,11.38,11.17,892.000 (Won/US$),,,,,
1997. 08 월,,5,12.45,10.65,11.6,11.68,902.000 (Won/US$),,,,,
1997. 09 월,,5,13.25,10.7,11.83,11.25,914.800 (Won/US$),,,,,
1997. 10 월,,5,13.64,10.86,11.71,11.25,965.100 (Won/US$),,,,,
1997. 11 월,,5,14.09,11.22,12.31,12.11,1163.800 (Won/US$),,,,,
1997. 12 월,,5,21.58,12.59,15.32,15.32,1695.000 (Won/US$),,,,,
1998. 01 월,,5,25.63,15.85,17.53,16.58,1525.000 (Won/US$),,,,,
1998. 02 월,,5,23.53,16.35,17.12,15.25,1633.000 (Won/US$),,,,,
1998. 03 월,,5,22.62,17.05,17.18,15.2,1383.000 (Won/US$),,,,,
1998. 04 월,,5,21.23,17.2,17.14,15.2,1336.000 (Won/US$),,,,,
1998. 05 월,,5,18.45,16.5,17.05,15.2,1407.000 (Won/US$),,,,,
1998. 06 월,,5,16.25,15.1,16.59,14.26,1373.000 (Won/US$),,,,,
1998. 07 월,,5,12.67,12.3,15.42,12.24,1230.000 (Won/US$),,,,,
1998. 08 월,,5,9.53,10.8,14.88,11.69,1350.000 (Won/US$),,,,,
1998. 09 월,,3,8.43,10.3,14.24,11.85,1391.000 (Won/US$),,,,,
1998. 10 월,,3,7.27,9.7,12.9,9.78,1319.000 (Won/US$),,,,,
1998. 11 월,,3,7.24,9.2,11.97,8.72,1246.000 (Won/US$),,,,,
1998. 12 월,,3,6.96,9.1,11.33,7.59,1204.000 (Won/US$),,,,,
1999. 01 월,,3,6.35,8.8,11.09,7.53,1175.000 (Won/US$),,,,,
1999. 02 월,,3,5.65,8.8,10.75,8.56,1223.000 (Won/US$),,,,,
1999. 03 월,,3,5.03,8.5,10.27,8.23,1227.000 (Won/US$),,,,,
1999. 04 월,,3,4.82,7.9,9.76,7.28,1188.000 (Won/US$),,,,,
1999. 05 월,4.75,3,4.8,7.5,9.33,8.15,1186.200 (Won/US$),,,,,
1999. 06 월,4.75,3,4.81,7.6,9.06,8.19,1157.600 (Won/US$),,,,,
1999. 07 월,4.75,3,4.84,7.5,8.93,8.37,1204.000 (Won/US$),,,,,
1999. 08 월,4.75,3,4.75,7.57,8.86,9.21,1184.600 (Won/US$),,,,,
1999. 09 월,4.75,3,4.74,7.65,8.83,9.78,1216.400 (Won/US$),,,,,
1999. 10 월,4.75,3,4.75,7.82,8.71,9.31,1200.000 (Won/US$),,,,,
1999. 11 월,4.75,3,4.75,7.79,8.58,9.92,1159.200 (Won/US$),,,,,
1999. 12 월,4.75,3,4.77,7.94,8.58,10.07,1138.000 (Won/US$),,,,,
2000. 01 월,4.75,3,4.77,8.31,8.59,9.91,1123.200 (Won/US$),,,,,
2000. 02 월,5,3,5,8.36,8.64,8.78,1131.000 (Won/US$),,,,,
2000. 03 월,5,3,5.1,8.18,8.79,9.21,1106.000 (Won/US$),,,,,
2000. 04 월,5,3,5.1,8.18,8.61,9.1,1109.100 (Won/US$),,,,,
2000. 05 월,5,3,5.13,8.11,8.62,9.18,1129.400 (Won/US$),,,,,
2000. 06 월,5,3,5.14,7.97,8.49,8.83,1115.000 (Won/US$),,,,,
2000. 07 월,5,3,5.16,7.96,8.51,8.06,1116.700 (Won/US$),,,,,
2000. 08 월,5,3,5.17,7.9,8.41,8.04,1108.800 (Won/US$),,,,,
2000. 09 월,5,3,5.16,7.73,8.43,8.22,1115.000 (Won/US$),,,,,
2000. 10 월,5.25,3,5.36,7.7,8.51,8.13,1139.000 (Won/US$),,,,,
2000. 11 월,5.25,3,5.38,7.53,8.53,7.57,1214.300 (Won/US$),,,,,
2000. 12 월,5.25,3,5.39,7.33,8.41,7,1264.500 (Won/US$),,,,,
2001. 01 월,5.25,3,5.32,7.15,8.45,6.48,1259.000 (Won/US$),,,,,
2001. 02 월,5,3,5.13,6.5,8.34,6.16,1250.800 (Won/US$),,,,,
2001. 03 월,5,3,5.03,6.1,8.26,6.9,1327.500 (Won/US$),,,,,
2001. 04 월,5,3,5.01,6.1,8.1,7.58,1319.700 (Won/US$),,,,,
2001. 05 월,5,3,5.02,6.05,7.99,7.43,1282.700 (Won/US$),,,,,
2001. 06 월,5,3,5.02,6,7.89,6.91,1297.500 (Won/US$),,,,,
2001. 07 월,4.75,3,4.81,5.9,7.78,6.6,1300.000 (Won/US$),,,,,
2001. 08 월,4.5,3,4.6,5.54,7.51,6.07,1278.000 (Won/US$),,,,,
2001. 09 월,4,2.5,4.33,5.29,7.26,6,1309.600 (Won/US$),,,,,
2001. 10 월,4,2.5,4.02,4.97,7.09,6.21,1296.100 (Won/US$),,,,,
2001. 11 월,4,2.5,4.03,4.94,6.92,6.65,1273.000 (Won/US$),,,,,
2001. 12 월,4,2.5,4.01,4.97,6.91,6.94,1313.500 (Won/US$),,,,,
2002. 01 월,4,2.5,3.99,4.98,6.9,6.98,1314.400 (Won/US$),,,,,
2002. 02 월,4,2.5,4.03,5,6.78,6.86,1323.800 (Won/US$),,,,,
2002. 03 월,4,2.5,4.03,4.95,6.79,7.07,1325.900 (Won/US$),,,,,
2002. 04 월,4,2.5,4.03,4.96,6.82,7.14,1294.000 (Won/US$),,,,,
2002. 05 월,4.25,2.5,4.26,5.05,6.8,6.96,1226.300 (Won/US$),,,,,
2002. 06 월,4.25,2.5,4.31,4.97,6.78,6.64,1201.300 (Won/US$),,,,,
2002. 07 월,4.25,2.5,4.29,4.96,6.79,6.39,1188.000 (Won/US$),,,,,
2002. 08 월,4.25,2.5,4.31,4.93,6.72,6.09,1201.900 (Won/US$),,,,,
2002. 09 월,4.25,2.5,4.33,4.93,6.71,6.07,1227.800 (Won/US$),,,,,
2002. 10 월,4.25,2.5,4.33,4.91,6.77,6,1221.600 (Won/US$),,,,,
2002. 11 월,4.25,2.5,4.31,4.89,6.72,5.69,1208.800 (Won/US$),,,,,
2002. 12 월,4.25,2.5,4.33,4.85,6.65,5.72,1186.200 (Won/US$),,,,,
2003. 01 월,4.25,2.5,4.3,4.76,6.51,5.32,1170.100 (Won/US$),,,,,
2003. 02 월,4.25,2.5,4.32,4.56,6.39,5.02,1193.700 (Won/US$),,,,,
2003. 03 월,4.25,2.5,4.25,4.37,6.48,5.06,1254.600 (Won/US$),,,,,
2003. 04 월,4.25,2.5,4.26,4.37,6.41,4.95,1215.300 (Won/US$),,,,,
2003. 05 월,4,2.5,4.09,4.29,6.28,4.61,1205.900 (Won/US$),,,,,
2003. 06 월,4,2.5,4.03,4.27,6.24,4.46,1193.100 (Won/US$),,,,,
2003. 07 월,3.75,2.5,3.85,4.19,6.2,4.86,1179.700 (Won/US$),,,,,
2003. 08 월,3.75,2.5,3.77,4.04,6.03,5.1,1178.200 (Won/US$),,,,,
2003. 09 월,3.75,2.5,3.76,3.96,5.97,4.66,1150.100 (Won/US$),,,,,
2003. 10 월,3.75,2.5,3.77,3.92,6,4.68,1183.100 (Won/US$),,,,,
2003. 11 월,3.75,2.5,3.8,4.04,6.13,5.16,1202.100 (Won/US$),,,,,
2003. 12 월,3.75,2.5,3.79,4.24,6.2,5.26,1192.600 (Won/US$),,,,,
2004. 01 월,3.75,2.5,3.8,4.25,6.25,5.28,1173.700 (Won/US$),,,,,
2004. 02 월,3.75,2.5,3.78,4.15,6.09,5.21,1176.200 (Won/US$),,,,,
2004. 03 월,3.75,2.5,3.77,4.03,6.12,4.94,1146.600 (Won/US$),,,,,
2004. 04 월,3.75,2.5,3.77,3.99,6.02,4.95,1173.300 (Won/US$),,,,,
2004. 05 월,3.75,2.5,3.77,3.95,5.97,4.85,1160.100 (Won/US$),,,,,
2004. 06 월,3.75,2.5,3.78,3.93,6.06,4.71,1155.500 (Won/US$),,,,,
2004. 07 월,3.75,2.5,3.78,3.93,5.96,4.59,1170.000 (Won/US$),,,,,
2004. 08 월,3.5,2.25,3.62,3.82,5.81,4.1,1153.000 (Won/US$),,,,,
2004. 09 월,3.5,2.25,3.53,3.65,5.74,3.86,1151.800 (Won/US$),,,,,
2004. 10 월,3.5,2.25,3.53,3.63,5.71,3.78,1119.600 (Won/US$),,,,,
2004. 11 월,3.25,2,3.36,3.59,5.6,3.64,1048.200 (Won/US$),,,,,
2004. 12 월,3.25,2,3.28,3.57,5.52,3.53,1035.100 (Won/US$),,,,,
2005. 01 월,3.25,2,3.27,3.51,5.58,4,1025.600 (Won/US$),,,,,
2005. 02 월,3.25,2,3.27,3.55,5.53,4.61,1006.000 (Won/US$),,,,,
2005. 03 월,3.25,2,3.25,3.61,5.63,4.44,1015.500 (Won/US$),,,,,
2005. 04 월,3.25,2,3.26,3.65,5.59,4.24,997.100 (Won/US$),,,,,
2005. 05 월,3.25,2,3.3,3.58,5.5,3.99,1007.700 (Won/US$),,,,,
2005. 06 월,3.25,2,3.28,3.55,5.5,4.08,1025.400 (Won/US$),,,,,
2005. 07 월,3.25,2,3.25,3.55,5.51,4.5,1026.800 (Won/US$),,,,,
2005. 08 월,3.25,2,3.25,3.56,5.49,4.81,1038.500 (Won/US$),,,,,
2005. 09 월,3.25,2,3.25,3.92,5.61,4.98,1041.100 (Won/US$),,,,,
2005. 10 월,3.5,2,3.44,3.98,5.73,5.22,1040.200 (Won/US$),,,,,
2005. 11 월,3.5,2,3.5,3.96,5.71,5.58,1033.500 (Won/US$),,,,,
2005. 12 월,3.75,2,3.69,4.24,5.74,5.5,1011.600 (Won/US$),,,,,
2006. 01 월,3.75,2,3.75,4.22,5.79,5.46,964.600 (Won/US$),,,,,
2006. 02 월,4,2.5,3.92,4.28,5.76,5.17,970.900 (Won/US$),,,,,
2006. 03 월,4,2.25,3.98,4.33,5.89,5.22,971.600 (Won/US$),,,,,
2006. 04 월,4,2.25,3.97,4.43,5.83,5.25,943.400 (Won/US$),,,,,
2006. 05 월,4,2.25,3.96,4.47,5.89,5.04,945.600 (Won/US$),,,,,
2006. 06 월,4.25,2.5,4.16,4.52,5.98,5.13,960.300 (Won/US$),,,,,
2006. 07 월,4.25,2.5,4.21,4.53,6.1,5.07,955.200 (Won/US$),,,,,
2006. 08 월,4.5,2.75,4.42,4.64,6.16,4.91,961.500 (Won/US$),,,,,
2006. 09 월,4.5,2.75,4.48,4.69,6.13,4.85,946.200 (Won/US$),,,,,
2006. 10 월,4.5,2.75,4.48,4.66,6.09,4.79,942.300 (Won/US$),,,,,
2006. 11 월,4.5,2.75,4.47,4.59,6.04,4.91,929.500 (Won/US$),,,,,
2006. 12 월,4.5,2.75,4.49,4.68,6.19,4.99,929.800 (Won/US$),,,,,
2007. 01 월,4.5,2.75,4.63,4.75,6.32,5.12,941.000 (Won/US$),,,,,
2007. 02 월,4.5,2.75,4.6,4.86,6.34,5,941.800 (Won/US$),,,,,
2007. 03 월,4.5,2.75,4.6,4.87,6.37,4.98,940.900 (Won/US$),,,,,
2007. 04 월,4.5,2.75,4.68,4.96,6.35,5.11,930.800 (Won/US$),,,,,
2007. 05 월,4.5,2.75,4.62,4.97,6.48,5.23,927.700 (Won/US$),,,,,
2007. 06 월,4.5,2.75,4.54,4.98,6.42,5.43,926.800 (Won/US$),,,,,
2007. 07 월,4.75,3,4.67,5.04,6.41,5.54,919.300 (Won/US$),,,,,
2007. 08 월,5,3.25,4.91,5.23,6.56,5.45,938.300 (Won/US$),,,,,
2007. 09 월,5,3.25,4.97,5.37,6.7,5.58,915.100 (Won/US$),,,,,
2007. 10 월,5,3.25,5,5.45,6.79,5.64,900.700 (Won/US$),,,,,
2007. 11 월,5,3.25,5,5.62,6.8,5.82,921.100 (Won/US$),,,,,
2007. 12 월,5,3.25,4.99,5.99,7.08,6.25,936.100 (Won/US$),,,,,
2008. 01 월,5,3.25,4.99,6.22,7.25,5.8,943.900 (Won/US$),,,,,
2008. 02 월,5,3.25,4.97,5.55,6.9,5.33,939.000 (Won/US$),,,,,
2008. 03 월,5,3.25,4.97,5.45,6.9,5.42,990.400 (Won/US$),,,,,
2008. 04 월,5,3.25,4.99,5.65,6.91,5.3,1002.600 (Won/US$),,,,,
2008. 05 월,5,3.25,4.99,5.52,6.96,5.64,1030.100 (Won/US$),,,,,
2008. 06 월,5,3.25,4.93,5.58,7.02,6.03,1046.000 (Won/US$),,,,,
2008. 07 월,5,3.25,4.98,5.71,7.12,6.29,1012.200 (Won/US$),,,,,
2008. 08 월,5.25,3.5,5.21,5.98,7.31,6.19,1089.000 (Won/US$),,,,,
2008. 09 월,5.25,3.5,5.21,6.22,7.44,6.3,1207.000 (Won/US$),,,,,
2008. 10 월,4.25,2.5,4.89,6.54,7.79,5.85,1291.000 (Won/US$),,,,,
2008. 11 월,4,2.25,4,6.15,7.53,6.05,1469.000 (Won/US$),,,,,
2008. 12 월,3,1.75,3.27,5.88,6.89,5.29,1259.500 (Won/US$),,,,,
2009. 01 월,2.5,1.5,2.43,4.44,5.91,4.57,1379.500 (Won/US$),,,,,
2009. 02 월,2,1.25,2.06,3.4,5.57,5.17,1534.000 (Won/US$),,,,,
2009. 03 월,2,1.25,1.77,3.13,5.5,4.96,1383.500 (Won/US$),,,,,
2009. 04 월,2,1.25,1.79,3.05,5.4,4.77,1282.000 (Won/US$),,,,,
2009. 05 월,2,1.25,1.91,2.94,5.42,4.91,1255.000 (Won/US$),,,,,
2009. 06 월,2,1.25,1.93,3.02,5.47,5.13,1273.900 (Won/US$),,,,,
2009. 07 월,2,1.25,1.94,3.03,5.53,5.13,1228.500 (Won/US$),,,,,
2009. 08 월,2,1.25,1.98,3.21,5.61,5.35,1248.900 (Won/US$),,,,,
2009. 09 월,2,1.25,1.98,3.53,5.82,5.33,1178.100 (Won/US$),,,,,
2009. 10 월,2,1.25,2,3.75,5.88,5.35,1182.500 (Won/US$),,,,,
2009. 11 월,2,1.25,2,3.76,5.87,5.29,1162.800 (Won/US$),,,,,
2009. 12 월,2,1.25,2,4.53,5.81,5.25,1164.500 (Won/US$),,,,,
2010. 01 월,2,1.25,2,4.69,5.94,5.27,1161.800 (Won/US$),,,,,
2010. 02 월,2,1.25,2,4.41,5.84,5.09,1160.000 (Won/US$),,,,,
2010. 03 월,2,1.25,2.01,3.89,5.69,4.68,1131.300 (Won/US$),,,,,
2010. 04 월,2,1.25,2,3.4,5.49,4.63,1108.400 (Won/US$),,,,,
2010. 05 월,2,1.25,2.01,3.48,5.4,4.68,1202.500 (Won/US$),,,,,
2010. 06 월,2,1.25,2,3.72,5.32,4.76,1210.300 (Won/US$),,,,,
2010. 07 월,2.25,1.25,2.2,3.88,5.39,4.82,1182.700 (Won/US$),,,,,
2010. 08 월,2.25,1.25,2.27,3.87,5.51,4.63,1189.100 (Won/US$),,,,,
2010. 09 월,2.25,1.25,2.27,3.75,5.45,4.15,1140.200 (Won/US$),,,,,
2010. 10 월,2.25,1.25,2.26,3.58,5.37,3.87,1125.300 (Won/US$),,,,,
2010. 11 월,2.5,1.25,2.37,3.71,5.34,4.24,1159.700 (Won/US$),,,,,
2010. 12 월,2.5,1.25,2.5,3.9,5.4,4.21,1134.800 (Won/US$),,,,,
2011. 01 월,2.75,1.25,2.66,4,5.64,4.5,1121.500 (Won/US$),,,,,
2011. 02 월,2.75,1.25,2.75,4.25,5.66,4.59,1128.700 (Won/US$),,,,,
2011. 03 월,3,1.5,2.92,4.24,5.78,4.27,1096.700 (Won/US$),,,,,
2011. 04 월,3,1.5,3.01,4.23,5.7,4.29,1071.500 (Won/US$),,,,,
2011. 05 월,3,1.5,3.02,4.19,5.76,4.16,1079.200 (Won/US$),,,,,
2011. 06 월,3.25,1.5,3.2,4.2,5.8,4.11,1067.700 (Won/US$),,,,,
2011. 07 월,3.25,1.5,3.26,4.24,5.86,4.15,1054.500 (Won/US$),,,,,
2011. 08 월,3.25,1.5,3.25,4.18,5.84,3.92,1066.800 (Won/US$),,,,,
2011. 09 월,3.25,1.5,3.25,4.09,5.76,3.78,1178.100 (Won/US$),,,,,
2011. 10 월,3.25,1.5,3.24,4.07,5.77,3.88,1110.000 (Won/US$),,,,,
2011. 11 월,3.25,1.5,3.26,4.05,5.83,3.82,1143.000 (Won/US$),,,,,
2011. 12 월,3.25,1.5,3.26,4.09,5.69,3.8,1151.800 (Won/US$),,,,,
2012. 01 월,3.25,1.5,3.26,4.04,5.79,3.78,1123.300 (Won/US$),,,,,
2012. 02 월,3.25,1.5,3.25,4,5.71,3.79,1118.700 (Won/US$),,,,,
2012. 03 월,3.25,1.5,3.25,4.01,5.74,3.89,1133.000 (Won/US$),,,,,
2012. 04 월,3.25,1.5,3.25,4.01,5.71,3.85,1130.000 (Won/US$),,,,,
2012. 05 월,3.25,1.5,3.26,3.91,5.66,3.71,1180.300 (Won/US$),,,,,
2012. 06 월,3.25,1.5,3.26,3.9,5.58,3.63,1145.400 (Won/US$),,,,,
2012. 07 월,3,1.5,3.09,3.7,5.45,3.33,1130.600 (Won/US$),,,,,
2012. 08 월,3,1.5,3,3.4,5.22,3.07,1134.700 (Won/US$),,,,,
2012. 09 월,3,1.5,2.99,3.43,5.13,3.04,1111.400 (Won/US$),,,,,
2012. 10 월,2.75,1.25,2.81,3.37,4.98,3.01,1090.700 (Won/US$),,,,,
2012. 11 월,2.75,1.25,2.75,3.28,4.94,3.01,1082.900 (Won/US$),,,,,
2012. 12 월,2.75,1.25,2.75,3.36,4.84,3.09,1070.600 (Won/US$),,,,,
2013. 01 월,2.75,1.25,2.76,3.24,5,3,1089.000 (Won/US$),,,,,
2013. 02 월,2.75,1.25,2.75,3.14,4.91,2.94,1083.000 (Won/US$),,,,,
2013. 03 월,2.75,1.25,2.74,3.04,4.77,2.83,1111.100 (Won/US$),,,,,
2013. 04 월,2.75,1.25,2.75,2.94,4.73,2.76,1101.200 (Won/US$),,,,,
2013. 05 월,2.5,1.25,2.56,2.82,4.62,2.8,1129.700 (Won/US$),,,,,
2013. 06 월,2.5,1.25,2.49,2.82,4.52,3.19,1142.000 (Won/US$),,,,,
2013. 07 월,2.5,1,2.48,2.8,4.6,3.34,1109.400 (Won/US$),,,,,
2013. 08 월,2.5,1,2.5,2.78,4.55,3.43,1110.000 (Won/US$),,,,,
2013. 09 월,2.5,1,2.5,2.79,4.54,3.39,1074.700 (Won/US$),,,,,
2013. 10 월,2.5,1,2.5,2.76,4.46,3.31,1060.700 (Won/US$),,,,,
2013. 11 월,2.5,1,2.5,2.76,4.5,3.46,1058.200 (Won/US$),,,,,
2013. 12 월,2.5,1,2.5,2.8,4.52,3.528,1055.400 (Won/US$),,,,,
2014. 01 월,2.5,1,2.5,2.77,4.53,3.493,1070.400 (Won/US$),,,,,
2014. 02 월,2.5,1,2.49,2.75,4.45,3.364,1067.500 (Won/US$),,,,,
2014. 03 월,2.5,1,2.48,2.72,4.46,3.322,1064.700 (Won/US$),,,,,
2014. 04 월,2.5,1,2.49,2.71,4.42,3.327,1033.200 (Won/US$),,,,,
2014. 05 월,2.5,1,2.49,2.69,4.4,3.234,1020.100 (Won/US$),,,,,
2014. 06 월,2.5,1,2.48,2.67,4.4,3.086,1011.800 (Won/US$),,,,,
2014. 07 월,2.5,1,2.49,2.58,4.39,2.885,1027.900 (Won/US$),,,,,
2014. 08 월,2.25,1,2.34,2.43,4.18,2.891,1014.000 (Won/US$),,,,,
2014. 09 월,2.25,1,2.24,2.36,4.14,2.774,1055.200 (Won/US$),,,,,
2014. 10 월,2,1,2.07,2.27,4,2.537,1068.500 (Won/US$),,,,,
2014. 11 월,2,1,1.98,2.22,3.88,2.417,1107.900 (Won/US$),,,,,
2014. 12 월,2,1,1.99,2.26,3.91,2.436,1099.300 (Won/US$),,,,,
2015. 01 월,2,1,1.99,2.18,3.9,2.26,1093.500 (Won/US$),,,,,
2015. 02 월,2,1,1.99,2.11,3.86,2.198,1098.400 (Won/US$),,,,,
2015. 03 월,1.75,1,1.83,2.01,3.61,2.057,1109.500 (Won/US$),,,,,
2015. 04 월,1.75,0.75,1.73,1.84,3.36,1.951,1072.400 (Won/US$),,,,,
2015. 05 월,1.75,0.75,1.74,1.79,3.56,2.253,1108.200 (Won/US$),,,,,
2015. 06 월,1.5,0.75,1.57,1.73,3.49,2.23,1115.500 (Won/US$),,,,,
2015. 07 월,1.5,0.75,1.48,1.63,3.43,2.24,1170.000 (Won/US$),,,,,
2015. 08 월,1.5,0.75,1.49,1.61,3.44,2.1,1182.500 (Won/US$),,,,,
2015. 09 월,1.5,0.75,1.48,1.61,3.43,1.98,1185.300 (Won/US$),,,,,
2015. 10 월,1.5,0.75,1.48,1.64,3.42,1.91,1140.100 (Won/US$),,,,,
2015. 11 월,1.5,0.75,1.49,1.74,3.44,2.05,1158.100 (Won/US$),,,,,
2015. 12 월,1.5,0.75,1.48,1.82,3.46,2.058,1172.500 (Won/US$),,,,,
2016. 01 월,1.5,0.75,1.49,1.72,3.49,1.915,1199.100 (Won/US$),,,,,
2016. 02 월,1.5,0.75,1.49,1.65,3.47,1.72,1236.700 (Won/US$),,,,,
2016. 03 월,1.5,0.5,1.49,1.62,3.5,1.739,1143.500 (Won/US$),,,,,
2016. 04 월,1.5,0.5,1.48,1.64,3.44,1.689,1139.300 (Won/US$),,,,,
2016. 05 월,1.5,0.5,1.49,1.61,3.45,1.66,1191.700 (Won/US$),,,,,
2016. 06 월,1.25,0.5,1.29,1.52,3.31,1.5,1151.800 (Won/US$),,,,,
2016. 07 월,1.25,0.5,1.23,1.38,3.23,1.34,1120.200 (Won/US$),,,,,
2016. 08 월,1.25,0.5,1.23,1.37,3.23,1.35,1118.500 (Won/US$),,,,,
2016. 09 월,1.25,0.5,1.24,1.41,3.27,1.45,1101.300 (Won/US$),,,,,
2016. 10 월,1.25,0.5,1.23,1.49,3.29,1.57,1145.200 (Won/US$),,,,,
2016. 11 월,1.25,0.5,1.23,1.62,3.29,1.92,1168.500 (Won/US$),,,,,
2016. 12 월,1.25,0.5,1.23,1.66,3.44,2.06,1207.700 (Won/US$),,,,,
2017. 01 월,1.25,0.5,1.24,1.59,3.51,1.99,1162.100 (Won/US$),,,,,
2017. 02 월,1.25,0.5,1.23,1.57,3.45,2.02,1130.700 (Won/US$),,,,,
2017. 03 월,1.25,0.5,1.23,1.58,3.48,2.075,1118.400 (Won/US$),,,,,
